Drug,Hour,Organ,Conc_umol_L,Kp
Donepezil,6.995,gut,688.18564871,413.6185
Donepezil,7.236,blood,1.21145525,1.0
Donepezil,7.236,lung,153.90302363,151.5305
Donepezil,7.236,liver,850.59940421,1129.0157
Donepezil,7.236,kidney,54.65053934,55.5137
Donepezil,7.236,muscle,23.5057987,20.3376
Donepezil,7.236,fat,24.07816615,171080.2988
Donepezil,7.236,brain,669.33584672,3081.7684
Donepezil,7.236,gut,671.84627149,413.6185
Donepezil,7.477,blood,1.19342257,1.0
Donepezil,7.477,lung,151.14677933,151.5305
Donepezil,7.477,liver,852.99704295,1129.0157
Donepezil,7.477,kidney,53.79032296,55.5137
Donepezil,7.477,muscle,23.43133205,20.3376
Donepezil,7.477,fat,24.32773883,171080.2988
Donepezil,7.477,brain,675.0147096,3081.7684
Donepezil,7.477,gut,656.09120854,413.6185
Donepezil,7.719,blood,1.17654484,1.0
Donepezil,7.719,lung,148.60711531,151.5305
Donepezil,7.719,liver,855.20975093,1129.0157
Donepezil,7.719,kidney,52.98856713,55.5137
Donepezil,7.719,muscle,23.35291323,20.3376
Donepezil,7.719,fat,24.5736896,171080.2988
Donepezil,7.719,brain,680.57309651,3081.7684
Donepezil,7.719,gut,640.91020533,413.6185
Donepezil,7.96,blood,1.16067731,1.0
Donepezil,7.96,lung,146.25524201,151.5305
Donepezil,7.96,liver,857.24937103,1129.0157
Donepezil,7.96,kidney,52.23818652,55.5137
Donepezil,7.96,muscle,23.27094931,20.3376
Donepezil,7.96,fat,24.81624318,171080.2988
Donepezil,7.96,brain,686.0179091,3081.7684
Donepezil,7.96,gut,626.29083712,413.6185
Donepezil,8.201,blood,1.14572053,1.0
Donepezil,8.201,lung,144.06700374,151.5305
Donepezil,8.201,liver,859.12648397,1129.0157
Donepezil,8.201,kidney,51.5331659,55.5137
Donepezil,8.201,muscle,23.18580156,20.3376
Donepezil,8.201,fat,25.05559853,171080.2988
Donepezil,8.201,brain,691.355275,3081.7684
Donepezil,8.201,gut,612.2190349,413.6185
Donepezil,8.442,blood,1.13156394,1.0
Donepezil,8.442,lung,142.02217916,151.5305
Donepezil,8.442,liver,860.85061466,1129.0157
Donepezil,8.442,kidney,50.86847385,55.5137
Donepezil,8.442,muscle,23.09779277,20.3376
Donepezil,8.442,fat,25.29193323,171080.2988
Donepezil,8.442,brain,696.59067809,3081.7684
Donepezil,8.442,gut,598.67957987,413.6185
Donepezil,8.683,blood,1.11814142,1.0
Donepezil,8.683,lung,140.1036954,151.5305
Donepezil,8.683,liver,862.43036528,1129.0157
Donepezil,8.683,kidney,50.23978904,55.5137
Donepezil,8.683,muscle,23.00721211,20.3376
Donepezil,8.683,fat,25.52540622,171080.2988
Donepezil,8.683,brain,701.72904113,3081.7684
Donepezil,8.683,gut,585.65642205,413.6185
Donepezil,8.925,blood,1.10537364,1.0
Donepezil,8.925,lung,138.29719132,151.5305
Donepezil,8.925,liver,863.87356523,1129.0157
Donepezil,8.925,kidney,49.64347942,55.5137
Donepezil,8.925,muscle,22.91432039,20.3376
Donepezil,8.925,fat,25.75616097,171080.2988
Donepezil,8.925,brain,706.77482041,3081.7684
Donepezil,8.925,gut,573.13301854,413.6185
Donepezil,9.166,blood,1.09319978,1.0
Donepezil,9.166,lung,136.59049493,151.5305
Donepezil,9.166,liver,865.18736621,1129.0157
Donepezil,9.166,kidney,49.07642784,55.5137
Donepezil,9.166,muscle,22.81935354,20.3376
Donepezil,9.166,fat,25.98432747,171080.2988
Donepezil,9.166,brain,711.73206468,3081.7684
Donepezil,9.166,gut,561.09254222,413.6185
Donepezil,9.407,blood,1.08157351,1.0
Donepezil,9.407,lung,134.97325383,151.5305
Donepezil,9.407,liver,866.37833318,1129.0157
Donepezil,9.407,kidney,48.5359479,55.5137
Donepezil,9.407,muscle,22.7225259,20.3376
