Drug,Hour,Organ,Conc_umol_L,Kp
Lecanemab,7.236,kidney,9.79925139,0.8734
Lecanemab,7.236,muscle,10.28295429,0.9034
Lecanemab,7.236,fat,7.59379236,0.6662
Lecanemab,7.236,brain,8.56287029,0.7628
Lecanemab,7.236,gut,9.15886475,0.8162
Lecanemab,7.477,blood,13.93778099,1.0
Lecanemab,7.477,lung,9.41499722,0.8443
Lecanemab,7.477,liver,8.80168564,0.789
Lecanemab,7.477,kidney,9.73920856,0.8734
Lecanemab,7.477,muscle,10.21995262,0.9034
Lecanemab,7.477,fat,7.54726892,0.6662
Lecanemab,7.477,brain,8.51040768,0.7628
Lecanemab,7.477,gut,9.10274999,0.8162
Lecanemab,7.719,blood,13.8523971,1.0
Lecanemab,7.719,lung,9.35728544,0.8443
Lecanemab,7.719,liver,8.74775896,0.789
Lecanemab,7.719,kidney,9.67951989,0.8734
Lecanemab,7.719,muscle,10.1573372,0.9034
Lecanemab,7.719,fat,7.50102996,0.6662
Lecanemab,7.719,brain,8.45826602,0.7628
Lecanemab,7.719,gut,9.04697688,0.8162
Lecanemab,7.96,blood,13.76752182,1.0
Lecanemab,7.96,lung,9.29997293,0.8443
Lecanemab,7.96,liver,8.6941645,0.789
Lecanemab,7.96,kidney,9.62022751,0.8734
Lecanemab,7.96,muscle,10.09510563,0.9034
Lecanemab,7.96,fat,7.45507396,0.6662
Lecanemab,7.96,brain,8.40644494,0.7628
Lecanemab,7.96,gut,8.99155032,0.8162
Lecanemab,8.201,blood,13.68317153,1.0
Lecanemab,8.201,lung,9.24299595,0.8443
Lecanemab,8.201,liver,8.64089778,0.789
Lecanemab,8.201,kidney,9.56128795,0.8734
Lecanemab,8.201,muscle,10.03325545,0.9034
Lecanemab,8.201,fat,7.40939927,0.6662
Lecanemab,8.201,brain,8.35494099,0.7628
Lecanemab,8.201,gut,8.93646169,0.8162
Lecanemab,8.442,blood,13.59933708,1.0
Lecanemab,8.442,lung,9.18637106,0.8443
Lecanemab,8.442,liver,8.58795754,0.789
Lecanemab,8.442,kidney,9.50271151,0.8734
Lecanemab,8.442,muscle,9.97178429,0.9034
Lecanemab,8.442,fat,7.36400425,0.6662
Lecanemab,8.442,brain,8.30375266,0.7628
Lecanemab,8.442,gut,8.88171091,0.8162
Lecanemab,8.683,blood,13.51601639,1.0
Lecanemab,8.683,lung,9.13009268,0.8443
Lecanemab,8.683,liver,8.53534164,0.789
Lecanemab,8.683,kidney,9.44449368,0.8734
Lecanemab,8.683,muscle,9.9106898,0.9034
Lecanemab,8.683,fat,7.31888724,0.6662
Lecanemab,8.683,brain,8.25287794,0.7628
Lecanemab,8.683,gut,8.82729552,0.8162
Lecanemab,8.925,blood,13.43320669,1.0
Lecanemab,8.925,lung,9.07415756,0.8443
Lecanemab,8.925,liver,8.48304804,0.789
Lecanemab,8.925,kidney,9.38663151,0.8734
Lecanemab,8.925,muscle,9.84996966,0.9034
Lecanemab,8.925,fat,7.27404659,0.6662
Lecanemab,8.925,brain,8.20231488,0.7628
Lecanemab,8.925,gut,8.77321336,0.8162
Lecanemab,9.166,blood,13.35090334,1.0
Lecanemab,9.166,lung,9.01856828,0.8443
Lecanemab,9.166,liver,8.43107496,0.789
Lecanemab,9.166,kidney,9.32912594,0.8734
Lecanemab,9.166,muscle,9.78962156,0.9034
Lecanemab,9.166,fat,7.22948061,0.6662
Lecanemab,9.166,brain,8.15206169,0.7628
Lecanemab,9.166,gut,8.71946289,0.8162
Lecanemab,9.407,blood,13.26911074,1.0
Lecanemab,9.407,lung,8.96329918,0.8443
Lecanemab,9.407,liver,8.37941949,0.789
Lecanemab,9.407,kidney,9.27195903,0.8734
Lecanemab,9.407,muscle,9.72964319,0.9034
Lecanemab,9.407,fat,7.18518762,0.6662
Lecanemab,9.407,brain,8.10211588,0.7628
Lecanemab,9.407,gut,8.66603957,0.8162
Lecanemab,9.648,blood,13.1878176,1.0
Lecanemab,9.648,lung,8.9083739,0.8443
Lecanemab,9.648,liver,8.32808071,0.789
Lecanemab,9.648,kidney,9.21514585,0.8734
Lecanemab,9.648,muscle,9.67003231,0.9034
Lecanemab,9.648,fat,7.14116599,0.6662
Lecanemab,9.648,brain,8.05247621,0.7628
Lecanemab,9.648,gut,8.61294411,0.8162
Lecanemab,9.889,blood,13.10702089,1.0
Lecanemab,9.889,lung,8.85379028,0.8443
Lecanemab,9.889,liver,8.27705667,0.789
Lecanemab,9.889,kidney,9.15868419,0.8734
Lecanemab,9.889,muscle,9.61078666,0.9034
Lecanemab,9.889,fat,7.09741406,0.6662
Lecanemab,9.889,brain,8.00314079,0.7628
Lecanemab,9.889,gut,8.5601745,0.8162
Lecanemab,10.131,blood,13.02671607,1.0
Lecanemab,10.131,lung,8.79955092,0.8443
Lecanemab,10.131,liver,8.22634563,0.789
Lecanemab,10.131,kidney,9.10257505,0.8734
Lecanemab,10.131,muscle,9.551904,0.9034
Lecanemab,10.131,fat,7.05393018,0.6662
Lecanemab,10.131,brain,7.95410788,0.7628
Lecanemab,10.131,gut,8.50772923,0.8162
Lecanemab,10.372,blood,12.94690217,1.0
Lecanemab,10.372,lung,8.74564725,0.8443
Lecanemab,10.372,liver,8.17594542,0.789
Lecanemab,10.372,kidney,9.04681195,0.8734
Lecanemab,10.372,muscle,9.49338212,0.9034
Lecanemab,10.372,fat,7.01071271,0.6662
Lecanemab,10.372,brain,7.90537546,0.7628
Lecanemab,10.372,gut,8.45560564,0.8162
Lecanemab,10.613,blood,12.86757848,1.0
Lecanemab,10.613,lung,8.69207004,0.8443
Lecanemab,10.613,liver,8.12585385,0.789
Lecanemab,10.613,kidney,8.99138795,0.8734
Lecanemab,10.613,muscle,9.43521878,0.9034
Lecanemab,10.613,fat,6.96776001,0.6662
Lecanemab,10.613,brain,7.85694152,0.7628
Lecanemab,10.613,gut,8.40380099,0.8162
Lecanemab,10.854,blood,12.78874088,1.0
Lecanemab,10.854,lung,8.63882078,0.8443
Lecanemab,10.854,liver,8.07606916,0.789
Lecanemab,10.854,kidney,8.93630331,0.8734
Lecanemab,10.854,muscle,9.37741179,0.9034
Lecanemab,10.854,fat,6.92507047,0.6662
Lecanemab,10.854,brain,7.80880432,0.7628
Lecanemab,10.854,gut,8.35231371,0.8162
Lecanemab,11.095,blood,12.71038708,1.0
Lecanemab,11.095,lung,8.5858953,0.8443
Lecanemab,11.095,liver,8.02658939,0.789
Lecanemab,11.095,kidney,8.8815545,0.8734
Lecanemab,11.095,muscle,9.31995897,0.9034
Lecanemab,11.095,fat,6.88264248,0.6662
Lecanemab,11.095,brain,7.76096198,0.7628
Lecanemab,11.095,gut,8.30114161,0.8162
Lecanemab,11.337,blood,12.63251422,1.0
Lecanemab,11.337,lung,8.53329128,0.8443
Lecanemab,11.337,liver,7.97741266,0.789
Lecanemab,11.337,kidney,8.82713926,0.8734
Lecanemab,11.337,muscle,9.26285814,0.9034
Lecanemab,11.337,fat,6.84047442,0.6662
Lecanemab,11.337,brain,7.71341268,0.7628
Lecanemab,11.337,gut,8.25028273,0.8162
Lecanemab,11.578,blood,12.55512027,1.0
Lecanemab,11.578,lung,8.48100391,0.8443
Lecanemab,11.578,liver,7.928537,0.789
Lecanemab,11.578,kidney,8.77305363,0.8734
Lecanemab,11.578,muscle,9.20610715,0.9034
Lecanemab,11.578,fat,6.79856471,0.6662
Lecanemab,11.578,brain,7.66615457,0.7628
Lecanemab,11.578,gut,8.19973486,0.8162
Lecanemab,11.819,blood,12.47820571,1.0
Lecanemab,11.819,lung,8.42902048,0.8443
Lecanemab,11.819,liver,7.87996014,0.789
Lecanemab,11.819,kidney,8.71928836,0.8734
Lecanemab,11.819,muscle,9.14970383,0.9034
Lecanemab,11.819,fat,6.75691176,0.6662
Lecanemab,11.819,brain,7.61918559,0.7628
Lecanemab,11.819,gut,8.14949494,0.8162
Lecanemab,12.06,blood,12.40175166,1.0
Lecanemab,12.06,lung,8.37738922,0.8443
Lecanemab,12.06,liver,7.83168223,0.789
